Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
Kentucky,SEC,41,0.284,0.382,289,"1,397",397,81,9,613,39,263,178,54,19,15,339,22,5,6,51,3,
Lafayette,Patriot,43,0.241,0.334,180,"1,374",331,60,7,459,18,149,159,42,16,8,351,22,13,9,53,5,
Lamar University,WAC,41,0.28,0.376,252,"1,421",398,77,13,573,24,231,174,54,16,13,238,41,8,6,26,3,
Lehigh,Patriot,39,0.286,0.377,249,"1,288",369,82,7,579,38,235,152,46,17,11,296,23,5,4,36,,
Liberty,ASUN,39,0.271,0.383,272,"1,334",361,74,2,571,44,249,201,49,11,14,335,19,5,2,33,5,
Lipscomb,ASUN,41,0.261,0.359,242,"1,350",353,55,10,548,40,214,174,46,24,25,339,26,19,7,73,2,
Little Rock,Sun Belt,36,0.289,0.366,204,"1,244",360,80,8,549,31,193,122,35,12,6,291,22,16,1,54,5,
LIU,NEC,38,0.27,0.381,243,"1,289",348,57,10,518,31,217,204,39,18,18,302,26,24,5,69,4,
LMU (CA),WCC,40,0.276,0.368,261,"1,460",403,72,7,600,37,226,145,77,17,16,400,20,15,5,39,5,
Long Beach St.,Big West,39,0.263,0.346,192,"1,349",355,64,5,510,27,173,127,45,3,18,360,26,11,,21,2,
Longwood,Big South,41,0.272,0.374,286,"1,417",385,78,10,570,29,249,191,53,21,28,387,18,22,5,73,9,
Louisiana,Sun Belt,39,0.264,0.341,224,"1,278",338,62,15,532,34,203,116,44,21,28,292,23,21,9,86,9,
Louisiana Tech,C-USA,42,0.268,0.377,304,"1,412",378,80,7,631,53,278,191,68,18,5,364,28,15,4,40,7,
Louisville,ACC,40,0.315,0.428,382,"1,433",452,87,17,768,65,352,232,66,22,15,327,34,12,1,67,4,
LSU,SEC,40,0.292,0.405,321,"1,371",400,83,8,700,67,301,194,80,20,14,304,26,6,2,12,3,
Maine,America East,34,0.285,0.384,245,"1,184",337,62,7,530,39,216,143,59,17,24,266,16,13,4,54,2,
Manhattan,MAAC,37,0.29,0.403,254,"1,259",365,72,6,512,21,223,205,43,14,13,257,38,20,10,48,4,
Marist,MAAC,35,0.282,0.382,268,"1,229",346,83,9,495,16,239,167,43,18,14,272,28,8,9,44,2,
Marshall,C-USA,41,0.271,0.361,233,"1,412",383,65,5,593,45,207,172,36,18,8,350,27,15,12,45,1,
Maryland,Big Ten,41,0.295,0.406,336,"1,419",419,85,5,730,72,312,215,67,24,14,338,30,14,4,49,,
Massachusetts,Atlantic 10,35,0.286,0.387,259,"1,242",355,78,6,532,29,230,163,48,11,11,279,28,11,5,32,1,
McNeese,Southland,41,0.284,0.375,277,"1,402",398,74,20,611,33,237,153,59,14,19,337,21,20,3,90,2,
Memphis,AAC,38,0.272,0.372,239,"1,289",351,79,4,540,34,215,169,45,16,10,270,23,11,5,30,1,
